x	y
1.27396 2.73438
-0.37518 3.19387
1.35846 2.48098
1.37129 3.45952
0.59298 2.07008
0.41442 1.09498
0.60358 3.80353
0.39032 2.63713
0.44358 2.62667
-0.25283 1.34095
0.27529 4.00085
-0.31317 2.69615
-1.52915 2.38060
-2.17787 2.47668
1.41159 1.42755
2.55192 1.31600
-0.48387 4.97945
-0.27473 3.24217
-0.62887 4.52772
-1.04442 2.29425
1.72647 5.32722
0.42895 1.86410
1.08909 3.19085
0.06663 2.92608
-0.13066 3.85109
-2.25293 3.52509
2.76400 1.81020
0.32720 2.76654
0.04803 2.83676
0.59489 4.11533
0.47098 1.79085
-0.42138 1.95433
0.25799 3.10452
-0.00043 1.84925
-0.64486 3.61528
1.84934 2.59401
-0.16775 1.06605
-0.35076 3.69289
-1.02011 1.98022
0.21797 3.02373
0.55503 1.46874
-1.29720 3.86753
-0.44588 3.66398
-0.16026 2.37752
1.70241 4.24240
1.06340 3.25293
0.11499 2.10742
-0.55651 2.07578
-0.68906 3.28040
-1.04969 3.00622
0.08187 2.43879
-0.94799 4.51358
0.73297 1.52169
-0.29968 3.36208
0.84513 1.96432
1.21395 2.20519
-0.73224 2.91802
1.52757 2.10025
-1.35623 2.65412
1.96095 2.54170
-0.23619 2.48249
-0.91602 3.07297
1.92929 3.73586
-1.31883 3.64972
-0.02595 2.18986
0.13678 2.72051
-0.19170 1.66754
-1.34278 4.88160
0.84442 2.80883
0.86157 2.23508
1.19112 4.79342
-0.05730 2.95485
-0.48145 4.10323
1.82835 2.70684
-0.84938 3.19926
-0.59336 2.00688
-0.70493 4.69386
0.99070 3.30407
-1.05586 3.16311
0.72732 2.89852
-1.52940 3.38668
-0.53904 2.78416
-0.05529 2.64638
0.20244 3.14352
-1.11565 3.93661
-0.07605 2.93922
0.72574 2.47548
-0.36768 2.37287
-0.50514 3.05218
-0.10454 3.14674
0.37902 3.65705
-1.07041 3.13885
1.68954 3.09706
0.86127 4.53165
-0.86465 3.73975
0.02288 3.41351
0.39211 2.23831
-1.04885 2.27189
0.18416 3.19773
-0.89198 3.91611
-0.03643 1.10804
-0.02903 3.54223
-2.64016 3.32295
-1.62087 3.29310
0.46166 3.09058
0.62801 2.09266
-0.97994 3.78972
1.48294 1.86408
0.10038 1.98334
-0.67693 3.77837
0.02959 2.75696
1.44288 3.98570
0.29056 3.44866
1.12144 2.11675
-1.45665 3.01616
0.51254 2.95987
-0.40954 3.27704
-0.75243 2.92176
-0.51512 3.39843
-0.50347 1.96332
0.29481 2.41045
0.16478 2.22555
-0.27544 4.06064
-0.58520 3.84048
-1.09603 4.59373
-0.25238 3.24475
0.17694 4.07788
-0.78544 3.04372
-0.22854 2.81123
0.60328 4.01080
-0.19298 2.42848
-1.07919 3.70572
-0.17610 3.27441
0.44565 4.63505
0.11058 3.95448
0.07220 2.43807
0.04073 2.61503
0.90527 3.49406
-0.05014 3.78284
-0.13621 3.79046
0.05718 4.11141
-0.76172 1.76807
-0.78959 2.08314
0.30477 2.07693
-0.00178 3.62617
-0.13045 3.01608
0.97336 3.21639
-0.21539 4.39541
-1.56189 3.49279
-1.26203 2.11080
-0.42060 2.75202
0.65061 3.35192
-1.01516 2.27763
0.66792 1.29170
-0.08461 3.62390
-0.23101 1.28452
1.57906 4.96764
-0.40363 4.26336
0.05309 2.21282
0.55527 0.93955
0.67569 2.80671
0.78119 1.68860
2.11736 2.36991
-0.71540 1.26368
0.32574 2.50645
1.56328 2.67334
-0.55013 3.84419
0.40468 2.73309
-0.61111 2.83776
-1.09423 2.70178
-0.11899 2.74732
0.58711 3.16498
-1.20575 1.38916
1.39981 3.95323
-0.51617 2.37890
0.43543 1.33793
0.20487 4.05855
1.08017 3.00140
-0.55442 2.25696
-1.88551 2.33007
-1.82446 3.03802
-0.97845 3.10711
2.80583 3.46449
-1.85450 3.67250
0.21385 3.36020
0.07129 4.30096
0.01863 2.64658
0.43050 4.60837
0.06510 2.00085
0.28379 2.28698
-0.41443 2.86442
-0.83661 2.83243
0.19575 1.68239
1.42768 3.21234
-1.49801 2.54659
-1.86033 4.04956
1.42700 3.69116
1.05360 1.61731
0.61424 1.51642
-0.60881 2.48634
0.20729 1.64734
0.34839 2.42019
1.90910 3.06447
0.56393 2.78143
-0.16690 2.95522
0.32499 3.34987
1.46921 3.67941
-0.56392 2.24641
0.29909 3.78735
-0.35335 3.68561
0.30065 2.64034
1.42785 4.36465
-0.86250 1.48578
0.11577 3.34721
-0.25583 3.68103
0.19323 3.97343
-0.05187 2.24910
-0.89172 4.79751
-0.12106 5.26519
0.35914 1.37201
-0.30887 2.81999
-0.32901 2.47037
-1.20919 3.89204
0.68784 1.79213
-0.95539 5.43513
0.65925 3.49186
0.41232 5.15126
-0.60332 4.08471
-0.84356 4.70769
-0.87848 2.50005
0.11292 4.80987
-0.00069 2.98379
1.11140 3.46666
1.29348 3.85342
0.33667 3.84146
-0.34345 3.38432
0.40088 2.76556
0.99007 3.64359
-0.69684 2.50749
-1.49945 2.43520
-0.30136 3.37026
1.25215 2.92952
-0.28047 3.26226
-0.43754 3.02516
-0.48372 2.66178
0.26576 3.27642
1.42188 3.00001
0.02883 1.34661
-0.61760 2.83137
-1.69619 3.39121
0.83758 2.67279
-0.57799 2.98965
-0.29087 2.18326
-0.62686 1.63446
1.23658 3.06900
0.26121 2.79066
0.07501 2.91833
-0.40150 4.57110
-0.15776 5.17301
-0.85747 2.40939
-0.12726 3.30480
-0.89614 3.41615
-1.54636 3.50002
0.68179 2.86179
1.48089 3.16047
-0.26623 2.50361
-0.31632 4.51529
-0.24024 3.02929
-1.06985 4.09881
0.02746 0.72390
1.45256 0.84810
0.10450 1.13616
-0.24984 3.55122
1.18420 3.00254
0.93125 3.30914
1.56407 1.29723
0.73215 3.57764
0.63266 2.21564
-0.31202 2.22021
1.95789 2.82840
-0.81397 3.24441
-0.69184 2.08259
0.20159 2.97053
0.25238 2.48859
-0.37977 2.06872
0.77721 4.21311
1.49619 1.84749
-0.64099 3.00170
0.33349 4.30046
0.55305 2.24575
-1.41068 2.91275
-0.63996 2.25640
0.05404 3.28722
0.82444 3.72090
-0.41449 3.32375
-0.13142 3.50529
-0.50835 3.18069
0.61460 2.86144
0.07149 2.27150
1.00733 3.59518
-0.32044 2.54316
1.01707 2.62722
0.41248 2.26612
-0.33183 1.67254
1.50213 1.36014
0.95496 4.38106
1.78320 2.99964
0.56200 2.16257
-0.36350 3.62455
1.30298 2.02366
-0.28633 3.95520
-0.30122 1.83965
-1.33999 1.22631
-0.84043 2.00719
0.57878 2.64933
2.02319 2.53215
-0.51717 2.96661
0.60836 4.41596
0.85307 3.86355
-0.36696 3.06319
-0.11489 3.38339
-1.69648 3.24611
-0.73631 2.03439
-1.13113 4.03724
-0.27394 2.43170
0.60935 1.80456
1.16627 2.07277
-0.79374 3.43990
2.08506 2.09323
-0.47853 2.85231
-0.50066 3.79894
1.23022 2.65496
-0.28486 2.52878
-1.55426 4.41541
-0.03008 4.54895
-0.56172 4.40089
1.52306 2.78582
1.57247 3.49727
0.38601 2.50729
-1.04532 4.35224
0.58448 1.63487
0.39635 3.25386
-0.87518 2.45210
-0.32984 3.28775
-0.67567 2.18332
0.25764 2.74076
-0.73053 2.35905
-0.20418 3.97716
0.47581 3.04300
0.55308 2.92800
0.87745 4.15395
0.39065 4.73323
0.62982 3.55516
-0.41590 3.01319
-0.27868 2.84796
-0.24574 4.06109
-0.27070 3.57024
1.23145 4.38206
-0.58147 3.42988
-0.67012 1.52833
-1.59490 -0.15181
-0.65814 4.20306
-1.72357 1.44393
-0.51338 1.91621
1.23830 3.36895
-1.80441 2.86838
-1.49304 3.21505
-0.43194 2.19184
0.28210 5.23054
0.04125 3.75897
0.66490 4.50707
-0.28587 2.25455
-1.25429 2.94443
-0.31984 2.90419
0.83165 3.15696
-0.41405 0.46334
-0.66266 1.62690
-3.40571 2.67816
-0.19953 1.94489
0.01818 3.87712
0.02659 3.09019
-0.00829 0.74151
2.44821 3.66351
-0.12733 4.22612
1.22049 5.11147
-1.13781 2.06018
1.33894 4.43783
-0.96977 3.76141
2.28881 2.63694
-0.80983 3.99126
-0.75369 2.49763
-0.54615 4.28716
-1.70740 2.59939
0.17333 3.60218
0.34722 2.47708
-1.00381 1.60619
-0.19646 3.53629
1.06957 2.13233
-0.63158 3.68538
0.52489 2.04115
-0.56085 4.34435
0.98780 3.90739
-0.32933 2.34394
-0.39522 2.78883
-2.01712 3.42963
1.07508 1.88977
-1.60178 1.77479
-0.79503 1.06449
0.69230 2.45922
-0.77934 3.23348
-2.45668 5.47770
0.30714 2.72131
1.83535 2.32578
-0.71234 5.00335
-1.79825 2.81844
0.89853 1.49225
0.14574 2.51823
0.07766 3.37511
-0.59334 2.66323
0.18748 2.57262
0.64029 2.23881
-0.11031 3.61603
1.45891 1.83019
1.00833 3.37343
0.18243 3.42453
-0.77977 2.23583
0.25913 4.75263
-0.37425 4.47869
0.95868 3.81517
0.39131 3.62665
1.99890 2.27580
-1.04411 2.79367
0.13529 3.98988
0.14107 3.62255
-1.96450 3.88002
-0.01351 4.42415
-1.19932 4.73045
0.31665 1.63475
-0.64855 3.54510
1.71842 3.84000
1.72105 3.25768
0.91686 3.01235
1.54614 2.23115
1.13078 1.89116
-1.83213 3.89339
-0.74567 2.35275
-0.00154 3.99014
-0.62373 3.11518
0.73730 2.89445
-0.09591 2.89922
-1.27904 3.48833
0.33264 1.51288
-1.00545 3.68620
-0.50683 4.52180
-0.98872 2.38667
-2.20493 3.00805
-0.45648 3.27646
-0.06012 1.91672
-0.11187 4.72359
0.75938 3.33783
-1.90319 3.41046
0.30463 2.57594
-0.78422 2.79004
-1.19017 5.06123
-1.91602 0.99091
-0.94373 2.69692
1.86671 2.76489
0.53879 3.44504
0.12474 2.21936
-0.20392 2.63385
0.17604 2.88453
-1.48764 2.63307
1.79834 2.01074
-1.81614 3.71632
2.11198 3.62424
-1.91560 3.39639
0.27220 3.59458
-0.25265 2.47192
0.97684 2.30789
0.01420 1.62799
-1.35336 1.29300
-1.57527 3.87278
-1.69884 3.20870
-1.19877 3.69469
-0.32346 2.15788
0.23132 4.67857
1.41858 2.21024
-0.89499 2.56857
-1.02717 3.86670
0.55884 1.58820
-1.59384 3.07831
-0.46017 4.37445
-1.45471 0.91565
0.42924 3.24031
-0.74978 2.62122
0.15396 2.37431
-0.02190 2.23348
0.71398 2.19312
-1.38251 2.54928
-0.08435 3.47150
0.89232 1.82020
-1.23544 2.65133
0.19557 3.71860
1.00797 3.30800
-0.78742 4.64667
1.79287 1.83234
-0.12649 3.60380
-1.21416 1.76937
0.91665 1.85158
0.68059 2.41351
-1.21222 4.49969
-1.13434 1.99634
-0.84273 4.93615
-1.26649 2.52794
0.59948 3.95581
0.83137 3.85485
-0.09602 1.25633
1.40704 5.00337
-1.05260 3.14684
0.56177 2.22188
0.85677 2.17809
1.65337 1.54731
-0.13828 2.20726
-0.40561 3.50351
1.52265 2.19402
0.00470 3.08351
0.42217 4.92970
0.39061 4.57934
-0.01726 3.75280
-1.05985 3.07036
-1.06222 1.50513
-1.46763 2.26281
0.02825 2.43714
0.59408 3.31846
-0.07496 1.96105
1.01788 3.27695
0.45343 1.68365
0.53157 3.06832
-0.19653 1.62114
0.51637 4.26287
1.05260 1.78025
1.60664 3.32065
0.71756 2.02786
1.71869 5.00293
-1.57183 1.77620
-0.64700 3.12997
1.55486 3.09903
-0.60598 0.59809
-0.04230 4.58238
1.49059 3.47472
1.40629 2.61080
-0.32873 3.66788
1.15842 1.73794
-0.21429 1.80250
-0.53967 4.15607
0.19458 3.40656
-2.26296 2.00538
-0.01595 3.82388
0.01963 2.94438
-0.91347 3.97811
-0.07144 2.75507
0.92173 4.26201
-0.47048 1.38027
-0.81378 2.38480
0.12375 1.70925
0.99476 3.85387
-0.26820 4.03208
0.71089 1.46585
-1.38153 3.43454
-2.86481 1.15199
0.54368 4.09846
0.44395 1.65369
-0.02090 1.72019
2.36293 1.69508
-0.38924 3.26863
0.10983 4.20980
-1.05876 2.02859
-0.86825 2.57830
-1.10004 1.41544
1.08911 2.59441
0.25498 0.82787
-1.78443 2.47328
0.25191 1.64078
0.25337 3.66266
0.95801 3.11638
0.89235 3.15434
-0.37771 4.52710
-0.62807 3.15517
0.70415 1.65544
-0.23274 1.18385
0.14294 0.93066
0.44584 4.46652
-1.60565 3.54065
-0.92652 1.51115
-0.11685 5.78299
-0.93435 3.52079
-2.51361 4.09547
1.04046 4.91465
-0.35775 1.92357
-1.40896 2.75231
1.78177 2.29862
-1.16136 2.68087
0.70184 2.78004
0.88622 3.08041
0.38882 3.28004
-1.88685 2.74914
-0.71083 2.94675
0.18229 3.65727
-0.28333 1.76388
0.55711 5.27738
0.29033 5.06217
0.20329 3.76509
-1.39949 3.81488
-1.02104 2.19706
-0.16794 2.17702
-1.08606 1.93169
0.10434 2.76607
2.10099 3.44320
1.71120 5.16267
0.21762 3.05449
0.61087 2.25736
0.20687 3.03310
-0.09517 2.34227
0.57371 3.41164
-0.42992 2.51180
-1.53869 3.47874
0.05762 2.84448
-0.54663 3.62133
-0.60489 3.01084
-1.04117 4.10079
-0.22169 4.18529
-1.18481 4.02956
-1.30061 2.63817
1.43550 4.55089
-1.32383 2.39014
0.65329 -0.11008
0.20581 2.09727
-0.96103 4.11572
-2.58276 3.23590
0.34776 4.06247
-1.20959 3.84697
-0.50739 3.06059
1.81661 3.85694
0.21703 3.47176
-0.93428 3.47306
-0.63864 1.18903
-1.23075 2.13458
0.31354 2.76246
0.11443 2.34768
1.05093 5.47229
1.40690 2.51257
0.26456 2.77623
-0.95844 3.89285
1.06315 5.16213
0.16560 2.28369
-1.61155 3.15319
0.02613 1.83682
0.12347 3.24326
1.45760 4.43542
1.06718 4.03845
0.04533 3.91260
0.12128 1.98931
0.88905 3.78158
-1.15224 3.74432
-0.64689 1.77856
-0.14564 4.13478
-0.78902 2.48983
-1.93941 2.37892
0.35319 3.73865
-0.69337 3.08226
1.67484 2.94078
-0.41569 2.89676
0.25785 2.95360
-0.13660 1.93474
-0.37787 4.25160
-0.05232 4.87007
0.22961 1.02850
-0.88481 1.69337
-0.61825 2.54857
2.62919 2.94919
1.46481 3.19571
0.33040 2.17789
-2.76593 3.18669
-1.05776 3.81853
0.26775 4.14107
-1.05202 3.00555
-0.70508 1.93658
-0.44079 3.20523
2.00352 3.05420
-0.38318 2.05875
-1.03667 2.85346
0.27053 2.12430
-0.54138 4.19725
-1.23500 3.26458
-0.38482 3.85150
0.38597 5.02962
-1.02011 0.73073
1.10557 3.59373
-0.97766 2.63900
1.38711 3.00734
0.30174 2.67685
1.69693 3.62969
0.48690 3.18481
-0.35818 1.99411
-0.17604 3.09317
-0.63401 1.96259
1.41492 2.66809
0.13670 4.05114
-0.67672 2.63354
-0.17231 4.69969
-1.67503 2.71615
-0.98004 2.21869
-1.28730 2.37311
1.06142 4.36274
1.19288 2.42276
-1.79490 2.99722
0.56876 2.38565
0.24337 2.18887
-0.96686 2.40665
-0.35726 4.09318
-1.57123 1.89942
0.96040 2.67996
-0.27047 2.41384
0.74545 4.34985
2.41568 2.84551
-2.41430 4.04418
-1.75978 3.07506
1.56911 3.49795
1.14615 4.38471
-0.52349 3.35897
-1.86136 3.27569
0.00449 1.26642
-0.46927 3.62139
-0.59925 2.78822
-1.51506 1.82022
0.77419 2.61715
-1.27759 4.89192
0.50261 1.75716
0.40680 4.52457
0.88386 4.42113
-0.26522 3.39411
-0.45442 4.29053
-0.14485 2.94880
-0.54140 1.98220
-0.15225 3.39004
-0.00896 2.77127
-1.10416 3.21214
0.38199 2.60007
0.32525 2.95843
0.19563 3.97989
1.23633 2.05931
0.78390 3.45334
-0.01313 3.15256
0.19900 3.90892
0.45887 3.70901
-0.64197 3.40608
-0.44747 2.56450
-0.32178 4.05022
1.79981 3.43849
2.31284 4.29351
0.72059 2.54379
-1.17666 1.82037
-0.50559 3.37724
1.52882 3.05383
0.63435 3.28971
-0.44714 3.95598
0.12981 2.17609
-0.92410 2.90180
0.03511 1.91960
-0.42416 2.82921
-1.48134 3.56015
-0.04641 2.68302
-1.08695 4.60235
2.99119 2.55518
-1.92780 3.52812
1.45095 1.61286
0.06848 2.74970
0.40647 2.63558
1.32318 3.06105
1.28230 1.62736
-1.34461 2.68470
-0.26795 3.40079
3.16879 3.46436
0.53546 2.26462
-0.82199 2.32371
-0.73589 3.74587
1.86940 3.74774
0.04511 4.08004
0.97595 2.67836
-0.39336 2.48740
0.19522 3.89185
-0.92572 4.10317
-2.45132 2.20083
-1.31413 1.15633
-0.48655 4.32179
0.66764 0.84927
0.99108 0.75570
-0.42313 2.12014
1.55392 2.22436
-1.30516 2.96023
-0.70192 -0.33787
1.45517 3.75522
-1.86732 2.88046
1.57910 3.15971
-0.40283 5.17705
-1.62374 2.03250
-0.11736 4.47575
-0.04348 1.66971
0.14787 3.12282
-1.74319 1.51564
-0.37517 3.83959
-0.72662 1.58871
0.24135 3.83845
0.04602 3.15762
-0.80083 3.36006
1.57743 1.91783
-0.93557 2.60960
0.94105 4.39072
-0.17265 4.18008
0.03276 2.80101
0.59759 3.13435
0.90099 1.62342
-0.51427 3.24806
1.03181 3.84023
0.29551 2.69338
1.15167 3.45421
-0.20036 3.46561
-2.26002 3.85536
0.07344 2.93025
-1.20275 3.15748
-0.37601 1.08751
0.60739 2.68138
-1.21698 2.75997
-1.15431 1.49235
1.46993 3.49336
-2.63202 3.21988
-0.89413 3.87514
1.46208 3.07297
-1.82750 3.20595
0.46398 4.92037
-0.19420 4.17374
-0.95556 2.90863
-1.01728 3.50403
0.90090 4.92065
-1.79429 2.54201
-1.71185 2.83719
-2.32217 1.80431
-0.76855 3.09083
1.29848 3.16953
1.29952 0.64240
-0.88608 1.68528
-0.59260 2.88895
-0.01844 3.22000
-0.36731 4.01574
0.52113 2.05943
-1.06950 2.77963
-0.88756 3.74891
0.25586 2.91599
-0.91972 1.21483
0.71064 2.07200
-0.79898 2.93788
-0.38920 2.83059
-0.94045 3.34968
0.41318 2.40952
-0.97091 3.85825
-1.06053 0.66499
-1.15590 2.95616
0.59006 4.31373
-3.10193 2.21315
-1.89304 3.24691
-0.98041 3.14835
0.44528 4.40776
-1.46277 4.16789
-1.08186 2.36668
2.30923 3.14919
1.70390 3.24703
2.26373 2.60249
1.87717 3.24023
0.62357 5.40327
-0.78478 2.97533
2.51393 2.85517
0.87689 3.03772
0.18425 3.18316
-0.47714 3.09830
0.01415 2.31142
-1.00824 2.97722
1.11971 4.11024
-0.00070 4.86169
-0.85718 2.76370
-1.46896 3.74032
-2.60179 2.77169
-0.11743 3.54712
-1.22561 1.28438
-0.26129 1.88989
